id,department_id,department_name,category_id,category_name,name,arabic_name,sku,brand_name,description,unit,warehouse_unit,workshop_unit,conversion_factor,purchase_price,sale_price,sale_price_before_vat,km_type_value,allow_decimal_qty,allow_minus_qty,is_active,min_price_corporate,max_price_corporate,is_price_editable,min_price_editable,created_at,updated_at
645,20,Oil Change Department,8,AC Filters فلاتر المكيف,AC Filter Stone 2F000,فلتر مكيف الهواء ستون 2F000,ACF-001,STONE,,piece,piece,piece,1,22,35,30.43,,false,false,true,0,0,false,,2026-05-11T02:38:48.854Z,2026-05-11T02:38:48.854Z
644,20,Oil Change Department,3,Misc Products,Mitsubishi Premium Long Life Liquid Coolant - Original,سائل تبريد ميتسوبيشي الممتاز طويل الأمد - أصلي,MIT-009,Mitsubishi,,piece,piece,piece,1,63.25,88,76.52,,false,false,true,0,0,false,,2026-05-11T02:33:24.570Z,2026-05-11T02:33:24.570Z
643,20,Oil Change Department,6,Engine Filter,Engine Filter STONE  MR968274,فلتر المحرك MR968274,MRF-968274,STONE,,piece,piece,piece,1,25,45,39.13,,false,false,true,0,0,false,,2026-05-11T02:19:54.261Z,2026-05-11T02:19:54.261Z
642,20,Oil Change Department,6,Engine Filter,Air Filter STONE 17743-23600-71,فلتر هواء STONE 17743-23600-71,STN-600,STONE,,piece,piece,piece,1,32,50,43.48,,false,false,true,0,0,false,,2026-05-11T01:46:34.966Z,2026-05-11T01:46:34.966Z
641,20,Oil Change Department,6,Engine Filter,Engine filter Hyundai 4X000,فلتر محرك هيونداي 4X000,EGF-002,TOYOMOTAR,,piece,piece,piece,1,22,40,34.78,,false,false,true,0,0,false,,2026-05-11T01:32:00.258Z,2026-05-11T01:33:13.279Z
640,20,Oil Change Department,6,Engine Filter,Engine filter Orignal 31090,فلتر محرك أصلي رقم 31090,EGF-001,TOYOTA,,piece,piece,piece,1,55,78,67.83,,false,false,true,0,0,false,,2026-05-11T01:23:37.554Z,2026-05-11T01:23:37.554Z
639,20,Oil Change Department,7,Other Oil Filters,OIL FILTER HYUNDAI DIESEL 42040 - TOMTOMA,فلتر زيت محرك ديزل هيونداي 42040 - توم توما,TOM-001,TOMTOMA,,piece,piece,piece,1,18,28,24.35,,false,false,true,0,0,false,,2026-05-11T01:00:39.101Z,2026-05-11T01:00:39.101Z
638,20,Oil Change Department,2,Other Oils,MOTORCRAFT 5W20 Fully Synthetic,زيت موتوركرافت 5W20 تخليقي بالكامل,OIL-147,Saudi MOTORCRAFT,,piece,piece,piece,1,19.58,26,22.61,10000,false,false,true,0,0,false,,2026-05-11T00:59:53.540Z,2026-05-11T00:59:53.540Z
637,20,Oil Change Department,36,Chinese filters,POWERTEN Oil Filter C00014634,فلتر زيت باورتن C00014634,PWT-009,POWERTEN,,piece,piece,piece,1,20,35,30.43,,false,false,true,0,0,false,,2026-05-11T00:52:57.761Z,2026-05-11T00:52:57.761Z
636,20,Oil Change Department,7,Other Oil Filters,Mitsubishi Oil Filter Stone 1230A182,فلتر زيت ميتسوبيشي ستون 1230A182,MIT-002,Mitsbushi,,piece,piece,piece,1,18,28,24.35,,false,false,true,0,0,false,,2026-05-11T00:42:14.633Z,2026-05-11T00:42:14.633Z
635,20,Oil Change Department,31,ENGINE FLUSHING OIL,DMAX Fuel Injector Cleaner 1003,منظف ​​حاقن الوقود DMAX 1003,DMA-003,DMAX,,piece,piece,piece,1,32,65,56.52,,false,false,true,0,0,false,,2026-05-11T00:24:37.148Z,2026-05-11T00:24:37.148Z
634,20,Oil Change Department,31,ENGINE FLUSHING OIL,DMAX Automatic Transmission Care and Protect 1004,معالج ناقل الحركة الأوتوماتيكي DMAX 1004,DMA-002,DMAX,,piece,piece,piece,1,33,65,56.52,,false,false,true,0,0,false,,2026-05-11T00:22:12.735Z,2026-05-11T00:22:12.735Z
633,20,Oil Change Department,7,Other Oil Filters,Suzuki Oil Filter 68K00,68K20 فلتر زيت سوزوكي,SUZ-001,SUZUKI,,piece,piece,piece,1,12,30,26.09,,false,false,true,0,0,false,,2026-05-11T00:08:09.635Z,2026-05-11T00:08:09.635Z
632,20,Oil Change Department,31,ENGINE FLUSHING OIL,Liqui Moly INJECTION CLEANER 8361,منظف نظم  ​​الحقن من ليكو مولي 8361,LIQ-003,Liqui,,piece,piece,piece,1,33,55,47.83,,false,false,true,0,0,false,,2026-05-11T00:07:32.076Z,2026-05-11T00:07:32.076Z
631,20,Oil Change Department,7,Other Oil Filters,oil filter Mercedes ORIGINAL 270180010990,فلتر زيت مرسيدس أصلي 270180010990,MER-001,Mercedes,,piece,piece,piece,1,105,125,108.7,,false,false,true,0,0,false,,2026-05-10T23:58:07.949Z,2026-05-10T23:58:07.949Z
630,20,Oil Change Department,3,Misc Products,ACDELCO X66A,يسيديلكو X66A,ACD-005,ACDELCO,,piece,piece,piece,1,22,50,43.48,,false,false,true,0,0,false,,2026-05-10T23:56:51.514Z,2026-05-10T23:56:51.514Z
629,20,Oil Change Department,2,Other Oils,KIXX GX7 10W40,كيكس  10W40 GX7,OIL-109,Saudi KIXX,,piece,piece,piece,1,27,20.5,17.83,10000,false,false,true,0,0,false,,2026-05-10T23:20:52.867Z,2026-05-10T23:20:52.867Z
628,20,Oil Change Department,4,TOYOTA Oil,TOYOTA OIL Diesel 5W30,5W30 زيت تويوتا ديزل,OIL-120,Saudi TOYOTA,,piece,piece,piece,1,28.75,35,30.43,10000,false,false,true,0,0,false,,2026-05-07T08:06:33.497Z,2026-05-07T08:06:33.497Z
627,20,Oil Change Department,18,TOYOTA Oil Filters,Oil Filter Toyota Camry YZZJ2,فلتر زيت تويوتا كامري YZZJ2,FLT-479,Toyota,,piece,piece,piece,1,11,20,17.39,,false,false,true,0,0,false,,2026-05-06T12:53:52.966Z,2026-05-06T12:57:36.230Z
626,20,Oil Change Department,10,Air Filters,oil filter Mercedes ORIGINAL 2781800009,فلتر زيت أصلي مرسيدس 2781800009,FLT-478,Saudi OIL,,piece,piece,piece,1,109.25,125,108.7,,true,false,true,0,0,false,,2026-05-06T12:24:04.259Z,2026-05-07T11:16:43.761Z
625,20,Oil Change Department,7,Other Oil Filters,oil filter Isuzu Lori Stoon 8-94391049-0,8-94391049-0 فلتر زيت ايسوزو لوري ستون,FLT-477,Saudi OIL,,piece,piece,piece,1,46,55,47.83,,false,false,true,0,0,false,,2026-05-06T12:21:12.054Z,2026-05-06T12:21:12.054Z
624,20,Oil Change Department,36,Chinese filters,FILTER OIL HAVAL STOON 1017100AEC01,1017100AEC01 فلتر زيت هافال ستون,CHI-0012,HAVAL,,piece,piece,piece,1,20,40,34.78,,false,false,true,0,0,false,,2026-05-06T12:16:07.244Z,2026-05-11T15:09:26.489Z
623,20,Oil Change Department,36,Chinese filters,Filter Oil Changan 1017100-EG01,1017100-EG01 فلتر زيت شنجن,CHI-009,Changan,,piece,piece,piece,1,29,35,30.43,,false,false,true,0,0,false,,2026-05-06T12:06:28.224Z,2026-05-06T12:06:28.224Z
622,20,Oil Change Department,36,Chinese filters,Filter Oil Changan 1012010-A02-AB,1012010-A02-AB  فلتر زيت شنجن,CHI-008,Changan,,piece,piece,piece,1,26,33,28.7,,false,false,true,0,0,false,,2026-05-06T12:01:30.529Z,2026-05-11T00:36:55.047Z
621,20,Oil Change Department,36,Chinese filters,FILTER OIL Chery Tiggo 7/Pro 1012010,فلتر زيت شيري تيجو 7/برو 1012010,CHI-013,Chery,,piece,piece,piece,1,15,35,30.43,,false,false,true,0,0,false,,2026-05-06T11:59:06.491Z,2026-05-11T15:10:16.126Z
620,20,Oil Change Department,1,Gear Oil,DMax Gear oil - Differential,ديماكس زيت معالج جير - دفرنس,MAX-001,German,,piece,piece,piece,1,29,65,56.52,,false,false,true,0,0,false,,2026-05-06T11:51:54.212Z,2026-05-11T00:11:15.255Z
619,20,Oil Change Department,1,Gear Oil,LUBEGARD CVT Recharge & Protect 296 ML,لوب جارد معالج ومحسن أداء قير ال سي في تي 296 مل امريكي,LUB-001,USA,,piece,piece,piece,1,138,165,143.48,,false,false,true,0,0,false,,2026-05-06T11:22:43.083Z,2026-05-06T11:22:43.083Z
618,1,LIQUIDATION SERVICES DEPARTMENT,35,Electrical Products,Toyota spark plugs ORIGINAL  90919-01253,بواجي تويوتا اصلي 90919-01253,SBK-009,Toyota,,piece,piece,piece,1,40,65,56.52,,false,false,true,0,0,false,,2026-05-06T11:11:43.676Z,2026-06-29T13:15:36.416Z
617,1,LIQUIDATION SERVICES DEPARTMENT,35,Electrical Products,"Toyota Lexus and Camry spark plugs, model 2018/2026, original 90919-01253",بواجي تويوتا لكزس وكامري موديل 2018/2026 اصلي 90919-01253,SBK-8,Toyota,,piece,piece,piece,1,40,80,69.57,,false,false,true,0,0,false,,2026-05-06T11:07:17.137Z,2026-05-06T11:07:17.137Z
616,2,Tea & Refereshment Department,37,Tea & Coffee,Coffee,قهوة,COF-001,Drinks,,piece,piece,piece,1,1,2,1.74,,false,false,true,0,0,false,,2026-05-03T22:33:20.035Z,2026-05-03T22:33:20.035Z
615,2,Tea & Refereshment Department,37,Tea & Coffee,Tea,شاي,TEA-001,Drinks,,piece,piece,piece,1,1,2,1.74,,false,false,true,0,0,false,,2026-05-03T22:31:47.606Z,2026-05-03T22:31:47.606Z
614,20,Oil Change Department,36,Chinese filters,OIL FILTER HAVAL ORIGINAL 1017100-EG01,1017100-EG01 فلتر زيت هافال أصلي,CHI-011,HAVAL,,piece,piece,piece,1,29,55,47.83,,false,false,true,0,0,false,,2026-05-03T22:25:07.583Z,2026-05-03T22:25:07.583Z
613,20,Oil Change Department,36,Chinese filters,FILTER OIL HAVAL ORIGINAL 1017100AEC01,1017100AEC01 فلتر زيت هافال أصلي,CHI-010,HAVAL,,piece,piece,piece,1,45,65,56.52,,false,false,true,0,0,false,,2026-05-03T22:23:01.665Z,2026-05-03T22:23:01.665Z
612,20,Oil Change Department,36,Chinese filters,FILTER OIL HAVAL STONE 1017100AEC01,1017100AEC01 فلتر زيت هافال ستون,CHI-009,HAVAL,1017100AEC01 فلتر زيت هافال ستون,piece,piece,piece,1,20,40,34.78,,false,false,true,0,0,false,,2026-05-03T22:20:41.472Z,2026-05-03T22:20:41.472Z
611,20,Oil Change Department,36,Chinese filters,OIL FILTER HAVAL POWERTEN 1017100-EG01,1017100-EG01 فلتر زيت هافال باورتن,CHI-008,HAVAL,,piece,piece,piece,1,18,35,30.43,,false,false,true,0,0,false,,2026-05-03T22:18:05.487Z,2026-05-03T22:18:05.487Z
610,20,Oil Change Department,36,Chinese filters,OIL FILTER CHANGAN POWERTEN 1012010-B01-AB,1012010-B01-AB فلتر زيت شنجن باورتن,CHI-007,CHANGAN,,piece,piece,piece,1,17,40,34.78,,false,false,true,0,0,false,,2026-05-03T22:15:31.842Z,2026-05-03T22:15:31.842Z
609,20,Oil Change Department,36,Chinese filters,OIL FILTER GEELY POWERTEN 1056025900,فلتر زيت جيلي باورتن 1056025900,CHI-006,GEELY,,piece,piece,piece,1,16,40,34.78,,false,false,true,0,0,false,,2026-05-03T22:13:21.244Z,2026-05-03T22:13:21.244Z
608,20,Oil Change Department,36,Chinese filters,OIL FILTER GEELY POWERTEN 101656847,فلتر زيت جيلي باورتن 101656847,CHI-005,GEELY,فلتر زيت جيلي باورتن 101656847,piece,piece,piece,1,14.95,30,26.09,,false,false,true,0,0,false,,2026-05-03T22:09:58.656Z,2026-05-03T22:09:58.656Z
607,20,Oil Change Department,36,Chinese filters,OIL FILTER GEELY ORIGINAL 01656847,فلتر زيت جيلي أصلي 01656847,CHI-003,GEELY,,piece,piece,piece,1,41.5,63,54.78,,false,false,true,0,0,false,,2026-05-03T22:06:56.444Z,2026-05-03T22:06:56.444Z
606,20,Oil Change Department,36,Chinese filters,OIL FILTER ORIGINAL JETOUR CHERY 1012010-480,فلتر زيت اصلي جيتور شيري 1012010-480,CHI-004,CHERY,فلتر زيت اصلي جيتور شيري 1012010-480,piece,piece,piece,1,25,40,34.78,,false,false,true,0,0,false,,2026-05-03T22:04:02.316Z,2026-05-03T22:04:02.316Z
605,20,Oil Change Department,36,Chinese filters,OIL FILTER MG ORIGINAL 100180,100180 MG فلتر زيت,FMG-100180,MG,OIL FILTER MG ORIGINAL 100180,piece,piece,piece,1,23,40,34.78,,false,false,true,0,0,false,,2026-05-03T21:56:01.611Z,2026-05-03T21:56:01.611Z
604,20,Oil Change Department,7,Other Oil Filters,OIL FILTER GEELY POWERTEN 1056022300,فلتر زيت جيلي باورتن 1056022300,CHI-002,GEELY,,piece,piece,piece,1,28,40,34.78,,false,false,true,0,0,false,,2026-05-03T21:39:33.278Z,2026-05-03T21:56:34.160Z
603,20,Oil Change Department,36,Chinese filters,FILTER OIL Chery Tiggo 7 / Pro 1012010,فلتر زيت شيري تيجو 7/برو 1012010,CHE-001,Chery,,piece,piece,piece,1,15,35,30.43,,false,false,true,0,0,false,,2026-05-03T21:35:53.321Z,2026-05-07T11:18:18.410Z
602,20,Oil Change Department,7,Other Oil Filters,OIL FILTER NISSAN URVAN DIESEL STONE 2W200,2W200 فلتر زيت نيسان اورفان ديزل ستون,STN-2W200,STONE,,piece,piece,piece,1,13.5,35,30.43,,false,false,true,0,0,false,,2026-05-03T20:18:16.863Z,2026-05-03T20:18:16.863Z
601,20,Oil Change Department,7,Other Oil Filters,Oil Filter Refrigerator SFO 1172,SFO 1172 فلتر زيت ثلاجة التبريد,SFO-1172,Misc,SFO 1172 فلتر زيت ثلاجة التبريد,piece,piece,piece,1,40,55,47.83,,false,false,true,0,0,false,,2026-05-03T20:04:40.026Z,2026-05-03T20:04:40.026Z
600,20,Oil Change Department,7,Other Oil Filters,OIL FILTER NISSAN URVAN DIESEL ORIGINAL 2W200,2W200 فلتر زيت نيسان اورفان ديزل أصلي,NSN-2W200,Nissan,,piece,piece,piece,1,46,60,52.17,,false,false,true,0,0,false,,2026-05-03T20:02:38.409Z,2026-05-03T20:02:38.409Z
599,20,Oil Change Department,11,HYUNDAI Oil Filters,OIL FILTER Hyundai (AZEERA) PETROL STOON 3CAA0,3CAA0 فلتر زيت هونداي ازيرا ستون,HYN-004,STONE,,piece,piece,piece,1,13,25,21.74,,false,false,true,0,0,false,,2026-05-03T19:19:26.389Z,2026-05-03T19:19:26.389Z
598,20,Oil Change Department,11,HYUNDAI Oil Filters,OIL FILTER HYUNDAI TUCSON STONE 2M100,2M100 فلتر زيت هونداي توسان ستون,HYN-004,STONE,,piece,piece,piece,1,14,25,21.74,,false,false,true,0,0,false,,2026-05-03T19:13:36.152Z,2026-05-03T19:13:36.152Z
597,20,Oil Change Department,11,HYUNDAI Oil Filters,Hyundai Filter SONATA 2S001 STONE,2S001 فلتر زيت هونداي سوناتا ستون,HYN-003,STONE,,piece,piece,piece,1,14,30,26.09,,false,false,true,0,0,false,,2026-05-03T19:11:30.879Z,2026-05-03T19:11:51.423Z
596,20,Oil Change Department,11,HYUNDAI Oil Filters,OIL FILTER HYUNDAI SANTA FE DIESEL STONE F100,F100 فلتر زيت هونداي سنتافي ديزل ستون,HYN-002,Stone,F100 فلتر زيت هونداي سنتافي ديزل ستون,piece,piece,piece,1,13,30,26.09,,false,false,true,0,0,false,,2026-05-03T19:08:30.316Z,2026-05-03T19:08:30.316Z
595,20,Oil Change Department,11,HYUNDAI Oil Filters,OIL FILTER Hyundai ELANTRA PETROL Stone 2J001,2J001 فلتر زيت هونداي النترا ستون,HYN-001,Stone,OIL FILTER Hyundai ELANTRA PETROL Stone 2J001,piece,piece,piece,1,18.4,25,21.74,,false,false,true,0,0,false,,2026-05-03T19:04:35.329Z,2026-05-03T19:04:35.329Z
594,20,Oil Change Department,8,AC Filters فلاتر المكيف,taha Test Product,taha Test Product,TP-21312,mobil,Oil engine,liter,liter,liter,1,7,15,13.04,700,false,false,true,11,15,false,,2026-05-03T18:53:13.178Z,2026-05-03T22:09:56.579Z
593,20,Oil Change Department,3,Misc Products,DMax Catalytic Converter Cleaner,منظف دبة التلوث ديماكس,MIS-002,Dmax,,liter,liter,liter,1,35,65,56.52,,false,false,true,0,0,false,,2026-05-03T18:03:01.384Z,2026-05-03T18:03:01.384Z
591,20,Oil Change Department,3,Misc Products,Engine cleaning oil,زيت تنظيف المحرك,MIS-001,Misc,,piece,piece,piece,1,65,65,56.52,,false,false,true,55,65,false,,2026-05-03T17:44:12.087Z,2026-05-03T18:52:24.633Z
590,20,Oil Change Department,3,Misc Products,WATER Wiper 1 LITER,ماء مساحات 1 لتر,WPR-001,Misc,,liter,liter,liter,1,4,1.1,0.96,,false,false,true,0,0,false,,2026-05-03T17:40:10.060Z,2026-05-03T17:40:10.060Z
589,20,Oil Change Department,3,Misc Products,Apsco AdBlue 10L,أبسكو أدبلو 10 لتر,MOB-001,APSCO,,drum,drum,drum,1,38,65,56.52,,false,false,true,0,0,false,,2026-05-03T15:44:47.791Z,2026-05-03T18:04:21.016Z
588,20,Oil Change Department,3,Misc Products,BENZOL AdBlue Diesel exhaust fluid 10L,بنزول ادبلو سائل عادم الديزل 10L,BEN-007,BENZOL,,drum,drum,drum,1,60,80,69.57,,false,false,true,0,0,false,,2026-05-03T15:40:18.489Z,2026-05-03T15:40:18.489Z
587,20,Oil Change Department,1,Gear Oil,BENZOL GEAR SHIFT 75W140,75W140 بنزول زيت ناقل حركة,BEN-006,BENZOL,,liter,liter,liter,1,17,65,56.52,,true,false,true,0,0,false,,2026-05-03T15:32:50.945Z,2026-05-03T15:32:50.945Z
586,1,LIQUIDATION SERVICES DEPARTMENT,35,Electrical Products,Hyundai spark plugs ORIGINAL 18855-10060,18855-10060 بواجي هونداي اصلي,SBK-007,Hyundai,,piece,piece,piece,1,15,30,26.09,,false,false,true,0,0,false,,2026-05-03T15:12:03.163Z,2026-05-03T15:12:03.163Z
585,20,Oil Change Department,1,Gear Oil,BENZOL GEAR SHIFT 75W90,75W90 بنزول زيت ناقل حركة,BEN-005,BENZOL,,liter,liter,liter,1,17,65,56.52,,true,false,true,0,0,false,,2026-05-03T14:59:58.898Z,2026-05-03T14:59:58.898Z
584,1,LIQUIDATION SERVICES DEPARTMENT,35,Electrical Products,Hyundai spark plugs ORIGINAL 18846-11070,18846-11070 بواجي هونداي اصلي,SBK-006,Hyundai,,piece,piece,piece,1,23,65,56.52,,false,false,true,0,0,false,,2026-05-03T14:58:04.752Z,2026-05-03T14:58:04.752Z
583,20,Oil Change Department,16,Benzol Oil,BENZOL DEX-VI,بنزول ديكس DEX-VI,BEN-004,BENZOL,,liter,liter,liter,1,22,70,60.87,,true,false,true,0,0,false,,2026-05-03T14:56:42.108Z,2026-05-03T14:56:42.108Z
582,1,LIQUIDATION SERVICES DEPARTMENT,35,Electrical Products,Hyundai spark plugs ORIGINAL 18841-11051,18841-11051 بواجي هونداي اصلي,SBK-005,Hyundai,,piece,piece,piece,1,25,30,26.09,,false,false,true,0,0,false,,2026-05-03T14:55:19.913Z,2026-05-03T14:55:19.913Z
581,20,Oil Change Department,16,Benzol Oil,BENZOL 5W40,بنزول 5W40,BEN-003,BENZOL,,liter,liter,liter,1,18,30,26.09,10000,false,false,true,0,0,false,,2026-05-03T14:52:30.671Z,2026-05-04T08:28:06.458Z
580,1,LIQUIDATION SERVICES DEPARTMENT,35,Electrical Products,Toyota spark plugs ORIGINAL 90919-01210,90919-01210 بواجي تويوتا اصلي,SBK-004,Toyota,,piece,piece,piece,1,22,50,43.48,,false,false,true,0,0,false,,2026-05-03T14:43:48.141Z,2026-05-03T14:43:48.141Z
579,20,Oil Change Department,16,Benzol Oil,BENZOL Oil 15W40,بنزول 15W40,BEN-002,BENZOL,,liter,liter,liter,1,17,11.5,10,5000,false,false,true,0,0,false,,2026-05-03T14:42:32.771Z,2026-05-04T08:28:28.537Z
578,1,LIQUIDATION SERVICES DEPARTMENT,35,Electrical Products,Toyota spark plugs ORIGINAL 90919-T1004,90919-T1004 بواجي تويوتا اصلي,SBK-003,Toyota,,piece,piece,piece,1,25,59,51.3,,false,false,true,0,0,false,,2026-05-03T14:41:05.783Z,2026-05-03T14:41:05.783Z
577,20,Oil Change Department,16,Benzol Oil,BENZOL 10W40 DIESEL& Petrol,بنزول 10W40 ديزل وبنزين,BEN-001,BENZOL,,liter,liter,liter,1,19.17,25,21.74,10000,false,false,true,0,0,false,,2026-05-03T14:39:48.916Z,2026-05-12T19:45:13.159Z
576,1,LIQUIDATION SERVICES DEPARTMENT,35,Electrical Products,Toyota spark plugs ORIGINAL 90919-YZZAD,90919-YZZAD بواجي تويوتا اصلي,SBK-002,T0YOTA,,piece,piece,piece,1,17,60,52.17,,false,false,true,0,0,false,,2026-05-03T14:39:23.344Z,2026-05-03T14:39:23.344Z
575,1,LIQUIDATION SERVICES DEPARTMENT,35,Electrical Products,Toyota Spark Plugs Orignal 90919-T1004,90919-01253 بواجي تويوتا اصلي,SPK-001,TOYOTA,,piece,piece,piece,1,40,65,56.52,,false,false,true,0,0,false,,2026-05-03T14:36:18.663Z,2026-05-03T14:36:18.663Z
574,20,Oil Change Department,1,Gear Oil,CASTROL ATF6,ATF6 كاسترول,CAS-001,Castrol,,liter,liter,liter,1,21,75,65.22,,false,false,true,0,0,false,,2026-05-03T14:32:08.974Z,2026-05-03T14:32:08.974Z
573,20,Oil Change Department,31,ENGINE FLUSHING OIL,FUCHS ENGINE FLUSHING OIL,فوكس زيت تنظيف المحرك,OIL-371,FUCHS,,liter,liter,liter,1,40,65,56.52,,true,false,true,0,0,false,,2026-05-03T13:53:03.002Z,2026-05-03T13:53:03.002Z
531,20,Oil Change Department,18,TOYOTA Oil Filters,OIL FILTER Toyota N2,فلتر زيت تويوتا N2,FLT-528,Saudi OIL,OIL FILTER Toyota N2 - Saudi branch stock item,pcs,pcs,pcs,1,15.53,20,17.39,,false,false,true,18,40,false,,2026-05-03T13:23:52.383Z,2026-05-17T08:17:45.409Z
544,20,Oil Change Department,18,TOYOTA Oil Filters,OIL FILTER Toyota IRON D4,فلتر زيت تويوتا آيرون D4,FLT-541,Saudi OIL,OIL FILTER Toyota IRON D4 - Saudi branch stock item,pcs,pcs,pcs,1,14.38,20,17.39,,false,false,true,18,40,false,,2026-05-03T13:23:52.383Z,2026-05-17T08:17:45.414Z
538,20,Oil Change Department,11,HYUNDAI Oil Filters,OIL FILTER ( HYUNDAI ) 505 big,فلتر زيت (هيونداي) 505 كبير,FLT-535,Saudi OIL,OIL FILTER ( HYUNDAI ) 505 big - Saudi branch stock item,pcs,pcs,pcs,1,13.23,20,17.39,,false,false,true,18,40,false,,2026-05-03T13:23:52.383Z,2026-05-17T08:17:45.419Z
157,20,Oil Change Department,8,AC Filters فلاتر المكيف,AC filter ford eadge 68A,فلتر مكيف فورد إيدج ٦٨A,FLT-153,Saudi AC,AC filter ford eadge 68A - Saudi branch stock item,pcs,pcs,pcs,1,14.38,35,30.43,,false,false,true,33,70,false,,2026-05-03T13:23:52.383Z,2026-05-17T08:17:45.455Z
176,20,Oil Change Department,8,AC Filters فلاتر المكيف,AC FILTER STONE 87139 30110,فلتر مكيف هواء ستون 87139 30110,FLT-172,Saudi AC,AC FILTER STONE 87139 30110 - Saudi branch stock item,pcs,pcs,pcs,1,26,40,34.78,,false,false,true,38,80,false,,2026-05-03T13:23:52.383Z,2026-05-03T13:23:52.383Z
177,20,Oil Change Department,8,AC Filters فلاتر المكيف,AC Filter Stone Acsent 1E000,فلتر مكيف هواء ستون أكسنت 1E000,FLT-173,Saudi AC,AC Filter Stone Acsent 1E000 - Saudi branch stock item,pcs,pcs,pcs,1,17.25,30,26.09,,false,false,true,28,60,false,,2026-05-03T13:23:52.383Z,2026-05-03T13:23:52.383Z
197,20,Oil Change Department,10,Air Filters,ENGINE FILTER NISSAN 3TA0B,فلتر محرك نيسان ٣TA٠B,FLT-193,Saudi ENGINE,ENGINE FILTER NISSAN 3TA0B - Saudi branch stock item,pcs,pcs,pcs,1,27,50,43.48,,false,false,true,48,100,false,,2026-05-03T13:23:52.383Z,2026-05-07T11:09:58.490Z
357,20,Oil Change Department,7,Other Oil Filters,OIL FILTER CHANGAN ORIGINAL 2300-CHAO0,2300-CHAO0 فلتر زيت شانجان اصلي,FLT-353,Saudi CHANGAN,Geely oil filter  1056022300 - Saudi branch stock item,pcs,pcs,pcs,1,28,40,34.78,,false,false,true,43,90,false,,2026-05-03T13:23:52.383Z,2026-05-03T21:46:50.374Z
288,20,Oil Change Department,7,Other Oil Filters,FORD Oil Filter Stone FL - 2137 / 2088,فلتر زيت فورد ستون FL - 2137 / 2088,FLT-284,Saudi FORD,FORD Oil Filter Stone FL - 2137 / 2088 - Saudi branch stock item,pcs,pcs,pcs,1,25,35,30.43,,false,false,true,33,70,false,,2026-05-03T13:23:52.383Z,2026-05-04T09:47:49.088Z
